"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 09 15:01:43 CST 2020","Mon Mar 09 15:01:43 CST 2020","0","testcase.t_allure","test_allure","","","","用例3","我是备注执行测试用例3的结果是成功"
"passed","Mon Mar 09 15:01:43 CST 2020","Mon Mar 09 15:01:43 CST 2020","0","testcase.t_allure","test_allure","","","","用例1","我是备注执行测试用例1的结果是成功"
"passed","Mon Mar 09 15:01:43 CST 2020","Mon Mar 09 15:01:43 CST 2020","0","testcase.t_allure","test_allure","","","","用例2","我是备注执行测试用例2的结果是成功"
"passed","Mon Mar 09 15:15:14 CST 2020","Mon Mar 09 15:15:14 CST 2020","0","testcase.t_allure","test_allure","TestAllure","","","用例3","我是备注执行测试用例3的结果是成功"
"passed","Mon Mar 09 15:22:20 CST 2020","Mon Mar 09 15:22:20 CST 2020","0","testcase.t_allure","test_allure","TestAllure","","","case2",""
"passed","Mon Mar 09 15:22:20 CST 2020","Mon Mar 09 15:22:20 CST 2020","1","testcase.t_allure","test_allure","TestAllure","","","csae1",""
"passed","Mon Mar 09 15:15:14 CST 2020","Mon Mar 09 15:15:14 CST 2020","0","testcase.t_allure","test_allure","TestAllure","","","用例2","我是备注执行测试用例2的结果是成功"
"passed","Mon Mar 09 15:15:14 CST 2020","Mon Mar 09 15:15:14 CST 2020","0","testcase.t_allure","test_allure","TestAllure","","","用例1","我是备注执行测试用例1的结果是成功"
